MMWR Year,Jurisdiction of Occurrence,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)"
2020,Alabama,64354.0,59772.0,999.0,10423.0,1430.0,3095.0,1095.0,3434.0,949.0,1060.0,1150.0,14739.0,3314.0,6860.0,6406.0
2020,Alaska,5076.0,4283.0,0.0,981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,888.0,11.0,181.0,143.0
2020,Arizona,78257.0,70296.0,197.0,13104.0,2609.0,3321.0,1150.0,3794.0,1137.0,784.0,1083.0,14724.0,3297.0,9575.0,8810.0
2020,Arkansas,38399.0,35509.0,308.0,6509.0,1338.0,1815.0,624.0,2464.0,264.0,659.0,10.0,8694.0,1679.0,4097.0,3600.0
2020,California,326702.0,300014.0,1746.0,60939.0,11881.0,19110.0,6192.0,13103.0,2965.0,4490.0,1251.0,67940.0,18247.0,34968.0,32687.0
2020,Colorado,48259.0,42637.0,234.0,8423.0,1183.0,2197.0,264.0,2541.0,519.0,307.0,20.0,8279.0,2276.0,5133.0,4470.0
2020,Connecticut,38648.0,35543.0,409.0,6800.0,854.0,1104.0,360.0,1249.0,461.0,404.0,100.0,7260.0,1499.0,6329.0,5889.0
2020,Delaware,11147.0,10160.0,0.0,2146.0,66.0,249.0,0.0,292.0,0.0,10.0,0.0,2174.0,688.0,1021.0,901.0
2020,Florida,246475.0,223975.0,2725.0,46420.0,7705.0,7350.0,3293.0,12129.0,2690.0,3295.0,3354.0,50949.0,15896.0,22095.0,19706.0
2020,Georgia,105189.0,96627.0,1926.0,18205.0,2880.0,4906.0,1629.0,4882.0,2369.0,2177.0,1304.0,21508.0,4871.0,10665.0,9740.0
2020,Hawaii,12215.0,11246.0,0.0,2539.0,43.0,414.0,35.0,119.0,0.0,0.0,0.0,2669.0,844.0,281.0,247.0
2020,Idaho,16689.0,15150.0,0.0,3052.0,287.0,718.0,11.0,855.0,0.0,0.0,0.0,3249.0,760.0,1506.0,1332.0
2020,Illinois,130471.0,120539.0,1600.0,23689.0,3449.0,4664.0,2399.0,5364.0,1454.0,2611.0,1292.0,27103.0,6626.0,16932.0,15398.0
