Data As Of,Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
05/31/2023,United States,2020,1,2020-01-04,"60,179","55,010",843,"11,567","1,829","2,537","1,559","3,501","1,068","1,094",630,"14,204","3,110",0,0,,,,,,,,,,,,,,,
05/31/2023,United States,2020,2,2020-01-11,"60,734","55,754",861,"11,962","1,942","2,566","1,528","3,708","1,035","1,092",649,"13,911","3,189",1,1,,,,,,,,,,,,,,,
05/31/2023,United States,2020,3,2020-01-18,"59,363","54,516",829,"11,701","1,819","2,491","1,484","3,526",992,"1,121",612,"13,593","3,256",2,1,,,,,,,,,,,,,,,
05/31/2023,United States,2020,4,2020-01-25,"59,163","54,402",828,"11,880","1,864","2,517","1,488","3,403",979,"1,107",638,"13,612","3,185",3,2,,,,,,,,,,,,,,,
05/31/2023,United States,2020,5,2020-02-01,"58,834","54,001",811,"11,963","1,828","2,480","1,411","3,313",981,"1,074",616,"13,465","3,084",0,0,,,,,,,,,,,,,,,
05/31/2023,United States,2020,6,2020-02-08,"59,482","54,411",806,"11,704","1,957","2,515","1,463","3,413",975,"1,135",600,"14,001","3,056",4,3,,,,,,,,,,,,,,,
05/31/2023,United States,2020,7,2020-02-15,"58,815","53,969",792,"11,807","1,848","2,537","1,515","3,477",979,"1,070",613,"13,641","3,089",6,2,,,,,,,,,,,,,,,
05/31/2023,United States,2020,8,2020-02-22,"58,921","53,992",779,"11,780","1,880","2,515","1,462","3,454",968,"1,059",608,"13,636","3,083",6,6,,,,,,,,,,,,,,,
05/31/2023,United States,2020,9,2020-02-29,"59,334","54,316",814,"11,790","1,831","2,519","1,508","3,460","1,011","1,092",676,"13,714","3,126",9,9,,,,,,,,,,,,,,,
05/31/2023,United States,2020,10,2020-03-07,"59,695","54,387",811,"11,712","1,867","2,511","1,608","3,470","1,002","1,071",655,"13,684","3,097",38,34,,,,,,,,,,,,,,,
05/31/2023,United States,2020,11,2020-03-14,"58,672","53,529",756,"11,568","1,743","2,445","1,641","3,390",993,"1,078",642,"13,437","3,165",60,55,,,,,,,,,,,,,,,
05/31/2023,United States,2020,12,2020-03-21,"59,219","54,301",840,"11,732","1,830","2,514","1,740","3,384","1,021","1,105",617,"13,203","3,066",588,550,,,,,,,,,,,,,,,
05/31/2023,United States,2020,13,2020-03-28,"63,048","58,253",846,"11,782","2,045","2,749","1,783","3,520","1,064","1,024",630,"13,719","3,067","3,226","3,043",,,,,,,,,,,,,,,
05/31/2023,United States,2020,14,2020-04-04,"72,294","67,445",948,"11,592","2,298","2,871","1,849","3,538","1,027","1,038",689,"14,945","3,165","10,141","9,638",,,,,,,,,,,,,,,
05/31/2023,United States,2020,15,2020-04-11,"79,096","74,004",833,"11,549","2,354","2,963","1,613","3,441","1,017","1,120",664,"15,762","3,191","16,347","15,528",,,,,,,,,,,,,,,
05/31/2023,United States,2020,16,2020-04-18,"76,809","71,895",745,"11,210","2,270","2,899","1,232","3,195",916,"1,098",668,"14,570","3,204","17,221","16,305",,,,,,,,,,,,,,,
05/31/2023,United States,2020,17,2020-04-25,"73,927","68,749",735,"11,367","2,085","2,804","1,138","2,994",887,987,675,"13,863","3,058","15,557","14,659",,,,,,,,,,,,,,,
05/31/2023,United States,2020,18,2020-05-02,"69,303","63,930",739,"11,097","1,935","2,727","1,009","2,928",851,961,548,"13,003","3,042","13,223","12,437",,,,,,,,,,,,,,,
05/31/2023,United States,2020,19,2020-05-09,"66,814","61,173",720,"11,014","1,972","2,498",864,"2,808",855,938,587,"13,170","2,849","11,243","10,463",,,,,,,,,,,,,,,
05/31/2023,United States,2020,20,2020-05-16,"64,479","58,978",679,"11,269","1,969","2,432",857,"2,770",787,976,563,"12,735","2,958","9,239","8,497",,,,,,,,,,,,,,,
05/31/2023,United States,2020,21,2020-05-23,"61,642","56,014",713,"11,116","1,834","2,417",804,"2,675",743,917,569,"12,796","2,827","7,249","6,593",,,,,,,,,,,,,,,
05/31/2023,United States,2020,22,2020-05-30,"59,682","53,987",654,"10,903","1,813","2,261",751,"2,634",759,893,576,"12,448","2,851","6,176","5,596",,,,,,,,,,,,,,,
05/31/2023,United States,2020,23,2020-06-06,"58,920","52,936",729,"11,083","1,727","2,302",701,"2,564",779,904,556,"12,471","2,791","5,060","4,519",,,,,,,,,,,,,,,
05/31/2023,United States,2020,24,2020-06-13,"58,034","52,274",693,"11,130","1,741","2,326",700,"2,502",737,923,587,"12,413","2,838","4,233","3,730",,,,,,,,,,,,,,,
05/31/2023,United States,2020,25,2020-06-20,"57,999","52,211",685,"11,157","1,792","2,362",756,"2,563",761,933,611,"12,412","2,923","3,852","3,347",,,,,,,,,,,,,,,
05/31/2023,United States,2020,26,2020-06-27,"58,510","52,643",719,"11,356","1,766","2,288",722,"2,539",775,952,575,"12,515","2,959","3,846","3,333",,,,,,,,,,,,,,,
05/31/2023,United States,2020,27,2020-07-04,"59,842","53,818",682,"11,298","1,933","2,362",658,"2,624",780,985,591,"12,882","2,832","4,557","4,050",,,,,,,,,,,,,,,
05/31/2023,United States,2020,28,2020-07-11,"61,945","55,843",764,"11,333","1,954","2,472",739,"2,614",751,915,668,"13,029","2,921","5,786","5,236",,,,,,,,,,,,,,,
05/31/2023,United States,2020,29,2020-07-18,"63,177","57,140",708,"11,373","1,887","2,501",767,"2,647",712,984,666,"12,868","2,982","7,198","6,530",,,,,,,,,,,,,,,
05/31/2023,United States,2020,30,2020-07-25,"64,249","58,386",683,"11,553","1,957","2,510",781,"2,559",730,969,672,"12,933","2,913","8,250","7,521",,,,,,,,,,,,,,,
05/31/2023,United States,2020,31,2020-08-01,"64,235","58,275",689,"11,514","1,989","2,502",760,"2,737",779,961,624,"12,834","2,989","8,308","7,613",,,,,,,,,,,,,,,
05/31/2023,United States,2020,32,2020-08-08,"63,719","57,822",785,"11,529","1,797","2,434",782,"2,594",730,909,671,"12,819","3,036","7,870","7,182",,,,,,,,,,,,,,,
05/31/2023,United States,2020,33,2020-08-15,"63,644","57,747",736,"11,703","1,895","2,527",754,"2,656",798,969,637,"12,843","2,946","7,270","6,563",,,,,,,,,,,,,,,
05/31/2023,United States,2020,34,2020-08-22,"62,583","56,608",735,"11,519","1,935","2,566",697,"2,643",783,967,625,"12,775","2,930","6,389","5,748",,,,,,,,,,,,,,,
05/31/2023,United States,2020,35,2020-08-29,"61,104","55,332",726,"11,576","1,883","2,430",678,"2,559",745,983,609,"12,476","2,994","5,755","5,153",,,,,,,,,,,,,,,
05/31/2023,United States,2020,36,2020-09-05,"60,247","54,238",701,"11,376","1,837","2,506",733,"2,552",801,929,568,"12,513","2,862","5,021","4,434",,,,,,,,,,,,,,,
05/31/2023,United States,2020,37,2020-09-12,"59,678","53,952",697,"11,468","1,899","2,330",681,"2,560",748,928,608,"12,360","3,046","4,628","4,078",,,,,,,,,,,,,,,
