Year,State,Natural Cause,Diabetes,Alzheimers,Influenza_pneumonia,Symptoms_not_elsewhere_classified,Diseases_of_heart,COVID_19_Multiple,COVID_19_Underlying
2020,Alabama,59772,1430,3095,1095,1150,14739,6860,6406
2020,Alaska,4283,0,0,0,0,888,181,143
2020,Arizona,70296,2609,3321,1150,1083,14724,9575,8810
2020,Arkansas,35509,1338,1815,624,10,8694,4097,3600
2020,California,300014,11881,19110,6192,1251,67940,34968,32687
2020,Colorado,42637,1183,2197,264,20,8279,5133,4470
2020,Connecticut,35543,854,1104,360,100,7260,6329,5889
2020,Delaware,10160,66,249,0,0,2174,1021,901
2020,Florida,223975,7705,7350,3293,3354,50949,22095,19706
2020,Georgia,96627,2880,4906,1629,1304,21508,10665,9740
2020,Hawaii,11246,43,414,35,0,2669,281,247
2020,Idaho,15150,287,718,11,0,3249,1506,1332
2020,Illinois,120539,3449,4664,2399,1292,27103,16932,15398
2020,Indiana,73733,2516,2866,1040,196,15595,9949,9028
2020,Iowa,33727,1059,1481,374,213,7549,4828,4383
2020,Kansas,29037,1044,966,324,129,6196,3561,3264
2020,Kentucky,51205,1575,1712,840,705,11465,4707,4233
2020,Louisiana,52017,1881,2465,722,612,12399,7131,6566
2020,Maine,14365,303,461,39,0,3082,359,312
2020,Maryland,61006,1793,1192,887,10,14333,7743,6940
2020,Massachusetts,64770,1577,1746,1314,680,11979,10322,9504
2020,Michigan,108130,3418,4921,1873,551,27119,12493,11391
2020,Minnesota,48414,1499,2623,345,1132,8664,5915,5176
2020,Mississippi,36651,1454,2041,879,31,8788,5244,4645
2020,Missouri,70451,1872,2938,1220,465,16514,8193,7470
2020,Montana,10999,94,91,21,0,2453,1233,1084
2020,Nebraska,18617,526,786,72,10,3594,2262,2023
2020,Nevada,28887,925,941,325,57,7592,3594,3362
2020,New Hampshire,12550,90,318,22,0,2877,780,684
2020,New Jersey,90857,2477,2731,1674,1273,19898,18335,16828
2020,New Mexico,20723,755,682,144,0,4262,2919,2750
2020,New York,192092,5485,3864,4768,2335,48836,38853,35837
2020,North Carolina,101465,3617,4777,1858,905,20784,9013,8132
2020,North Dakota,8229,11,168,21,0,1578,1430,1283
2020,Ohio,133564,4439,6077,2076,1812,31013,15417,13906
2020,Oklahoma,43146,1537,1831,488,12,11733,5374,4664
2020,Oregon,37130,1373,2042,225,443,7490,1633,1416
2020,Pennsylvania,146073,4324,4616,2443,2602,33509,18789,17079
2020,Rhode Island,11319,87,339,0,0,2404,1881,1576
2020,South Carolina,55371,1973,2607,635,219,11493,5810,5283
2020,South Dakota,9400,84,329,0,0,1847,1668,1543
2020,Tennessee,80749,2715,3717,1695,884,18891,8127,7462
2020,Texas,236962,8169,12202,3644,1858,51573,34128,31937
2020,Utah,20093,753,1161,81,0,4457,1662,1427
2020,Vermont,5638,0,33,0,0,1524,107,96
2020,Virginia,74049,2636,2897,1149,692,15805,6287,5793
2020,Washington,57866,2105,3749,664,358,12215,3750,3326
2020,West Virginia,23146,1084,885,259,141,5154,1564,1415
2020,Wisconsin,57284,1702,2641,638,53,12810,6371,5486
2020,Wyoming,5008,0,21,0,0,1137,416,363
